SID,trial,step,instanceOnset,difficultyEstOnset,performanceEstOnset,decisionStartOnset,stepTime
999,0,1,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614634.6790838
999,0,2,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614635.180797
999,0,3,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614635.8882551
999,0,4,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614637.1007535
999,0,5,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614638.8761973
999,0,6,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614639.902245
999,0,7,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614640.5025752
999,0,8,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614641.3123953
999,0,9,1579614630.9073803,1579614631.0081074,1579614632.6233928,1579614633.2756476,1579614643.2597716
999,1,1,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614648.758248
999,1,2,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614649.4095063
999,1,3,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614652.0737126
999,1,4,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614652.929423
999,1,5,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614653.6336963
999,1,6,1579614645.7397864,1579614645.8405478,1579614647.0012736,1579614647.5864096,1579614655.0612774
999,2,1,1579614656.9573593,1579614657.0581336,1579614660.003937,1579614661.008967,1579614662.23869
999,3,1,1579614664.19329,1579614664.2940202,1579614665.511559,1579614666.0900116,1579614667.6360073
999,3,2,1579614664.19329,1579614664.2940202,1579614665.511559,1579614666.0900116,1579614668.4917178
999,3,3,1579614664.19329,1579614664.2940202,1579614665.511559,1579614666.0900116,1579614669.2565472
999,3,4,1579614664.19329,1579614664.2940202,1579614665.511559,1579614666.0900116,1579614670.2683492
999,3,5,1579614664.19329,1579614664.2940202,1579614665.511559,1579614666.0900116,1579614671.4327846
999,4,1,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614676.5477543
999,4,2,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614677.3057284
999,4,3,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614678.7527971
999,4,4,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614679.6833172
999,4,5,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614680.4324963
999,4,6,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614681.366467
999,4,7,1579614673.3113706,1579614673.4121451,1579614673.8444498,1579614675.1276069,1579614682.697147
999,5,1,1579614684.770485,1579614684.8712156,1579614685.952793,1579614686.662905,1579614688.8321881
999,5,2,1579614684.770485,1579614684.8712156,1579614685.952793,1579614686.662905,1579614689.6647766
999,6,1,1579614691.5719497,1579614691.6723511,1579614692.9227998,1579614693.3536475,1579614694.545483
999,7,1,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614698.7994049
999,7,2,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614699.2123015
999,7,3,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614699.5553825
999,7,4,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614700.6639862
999,7,5,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614700.9901135
999,7,6,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614701.4040065
999,7,7,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614701.818105
999,7,8,1579614696.1288967,1579614696.229627,1579614696.5009015,1579614697.659318,1579614704.0773618
999,8,1,1579614705.9766881,1579614706.0773427,1579614706.414517,1579614707.6626482,1579614709.19623
999,8,2,1579614705.9766881,1579614706.0773427,1579614706.414517,1579614707.6626482,1579614709.7835095
999,8,3,1579614705.9766881,1579614706.0773427,1579614706.414517,1579614707.6626482,1579614711.0311708
999,8,4,1579614705.9766881,1579614706.0773427,1579614706.414517,1579614707.6626482,1579614711.9172764
999,9,1,1579614713.739268,1579614713.8399222,1579614714.3017945,1579614715.1056654,1579614716.1568913
999,10,1,1579614718.4845655,1579614718.5848308,1579614719.4800339,1579614720.4393368,1579614721.2966313
999,11,1,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614724.7333522
999,11,2,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614725.1896672
999,11,3,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614726.1063685
999,11,4,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614727.4280663
999,11,5,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614727.9159088
999,11,6,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614728.6775794
999,11,7,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614729.294217
999,11,8,1579614722.6495643,1579614722.7503703,1579614723.2731712,1579614723.8985357,1579614730.5297077
999,12,1,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614734.3975058
999,12,2,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614734.9097981
999,12,3,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614735.2199757
999,12,4,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614735.574076
999,12,5,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614735.8705444
999,12,6,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614736.3246725
999,12,7,1579614731.762341,1579614731.8626704,1579614732.3743737,1579614733.2961822,1579614737.071559
999,13,1,1579614738.5115047,1579614738.6122355,1579614739.0064487,1579614739.8750117,1579614740.380659
999,14,1,1579614741.597106,1579614741.6979136,1579614742.008388,1579614742.614374,1579614743.122568
999,15,1,1579614744.3181398,1579614744.4183443,1579614744.7683697,1579614745.4148479,1579614746.6918182
999,15,2,1579614744.3181398,1579614744.4183443,1579614744.7683697,1579614745.4148479,1579614747.113633
999,15,3,1579614744.3181398,1579614744.4183443,1579614744.7683697,1579614745.4148479,1579614747.785537
999,15,4,1579614744.3181398,1579614744.4183443,1579614744.7683697,1579614745.4148479,1579614748.2788136
999,15,5,1579614744.3181398,1579614744.4183443,1579614744.7683697,1579614745.4148479,1579614749.4138749
999,16,1,1579614750.511244,1579614750.6120176,1579614751.0448854,1579614751.6871762,1579614752.4313686
999,16,2,1579614750.511244,1579614750.6120176,1579614751.0448854,1579614751.6871762,1579614753.0112598
999,16,3,1579614750.511244,1579614750.6120176,1579614751.0448854,1579614751.6871762,1579614753.4463263
999,16,4,1579614750.511244,1579614750.6120176,1579614751.0448854,1579614751.6871762,1579614754.1325998
999,17,1,1579614755.2714667,1579614755.3721309,1579614755.8230371,1579614756.5380871,1579614757.4933724
999,17,2,1579614755.2714667,1579614755.3721309,1579614755.8230371,1579614756.5380871,1579614757.8510275
999,17,3,1579614755.2714667,1579614755.3721309,1579614755.8230371,1579614756.5380871,1579614758.2012882
999,17,4,1579614755.2714667,1579614755.3721309,1579614755.8230371,1579614756.5380871,1579614758.8823931
999,18,1,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614762.7821894
999,18,2,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614763.2882173
999,18,3,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614763.6317244
999,18,4,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614763.9837766
999,18,5,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614764.351798
999,18,6,1579614760.275909,1579614760.376847,1579614761.4803147,1579614762.0710635,1579614765.5694592
999,19,1,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614770.217814
999,19,2,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614770.4816077
999,19,3,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614770.7139747
999,19,4,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614770.9054658
999,19,5,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614771.1079164
999,19,6,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614771.2994523
999,19,7,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614771.4755235
999,19,8,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614771.6670532
999,19,9,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614771.8599417
999,19,10,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614772.0429976
999,19,11,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614772.242971
999,19,12,1579614767.079397,1579614767.1800873,1579614768.4748437,1579614769.292627,1579614773.8654108
999,20,1,1579614774.995966,1579614775.0961723,1579614775.8324502,1579614776.4987352,1579614776.9869363
999,20,2,1579614774.995966,1579614775.0961723,1579614775.8324502,1579614776.4987352,1579614777.42783
999,20,3,1579614774.995966,1579614775.0961723,1579614775.8324502,1579614776.4987352,1579614778.685948
999,21,1,1579614779.8593733,1579614779.959777,1579614780.7894213,1579614781.4226825,1579614782.2889779
999,22,1,1579614783.5113099,1579614783.611918,1579614784.404076,1579614785.0950127,1579614786.4063194
999,23,1,1579614787.6435108,1579614787.7442405,1579614788.1277215,1579614788.8202426,1579614789.5408201
999,23,2,1579614787.6435108,1579614787.7442405,1579614788.1277215,1579614788.8202426,1579614790.0830305
999,23,3,1579614787.6435108,1579614787.7442405,1579614788.1277215,1579614788.8202426,1579614790.7964807
999,24,1,1579614791.9873369,1579614792.0879908,1579614792.4704728,1579614793.221464,1579614793.7430432
999,25,1,1579614794.8555267,1579614794.9564276,1579614795.4655719,1579614796.090899,1579614796.6419318
999,26,1,1579614797.7807205,1579614797.8814504,1579614798.2315142,1579614799.041071,1579614799.5033495
999,27,1,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614804.5459118
999,27,2,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614804.888039
999,27,3,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614805.4135053
999,27,4,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614805.833987
999,27,5,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614806.231192
999,27,6,1579614800.7520185,1579614800.8527493,1579614803.4038303,1579614804.045783,1579614807.2924078
999,28,1,1579614808.6241014,1579614808.7248316,1579614809.2284846,1579614809.848028,1579614810.4688723
999,29,1,1579614811.6781197,1579614811.7783566,1579614812.1932898,1579614812.9116309,1579614813.3906734
